jurisdiction,state,type,priority
Rowley city, Iowa,Place,No
Royal city, Iowa,Place,Yes
Rudd city, Iowa,Place,Yes
Runnells city, Iowa,Place,No
Russell city, Iowa,Place,No
Ruthven city, Iowa,Place,No
Rutland city, Iowa,Place,Yes
Ryan city, Iowa,Place,Yes
Sabula city, Iowa,Place,No
Sac City city, Iowa,Place,No
Sageville city, Iowa,Place,Yes
St. Ansgar city, Iowa,Place,No
St. Anthony city, Iowa,Place,No
St. Benedict CDP, Iowa,Place,No
St. Charles city, Iowa,Place,Yes
St. Donatus city, Iowa,Place,No
St. Joseph CDP, Iowa,Place,Yes
St. Lucas city, Iowa,Place,Yes
St. Marys city, Iowa,Place,No
St. Olaf city, Iowa,Place,Yes
St. Paul city, Iowa,Place,Yes
Salem city, Iowa,Place,No
Salix city, Iowa,Place,Yes
Sanborn city, Iowa,Place,No
Sandyville city, Iowa,Place,Yes
Saylorville CDP, Iowa,Place,Yes
Scarville city, Iowa,Place,No
Schaller city, Iowa,Place,Yes
Schleswig city, Iowa,Place,Yes
Scranton city, Iowa,Place,No
Searsboro city, Iowa,Place,No
Sergeant Bluff city, Iowa,Place,Yes
Sexton CDP, Iowa,Place,No
Seymour city, Iowa,Place,No
Shambaugh city, Iowa,Place,No
Shannon City city, Iowa,Place,No
Sharpsburg city, Iowa,Place,No
Sheffield city, Iowa,Place,No
Shelby city, Iowa,Place,No
Sheldahl city, Iowa,Place,Yes
Sheldon city, Iowa,Place,No
Shell Rock city, Iowa,Place,No
Shellsburg city, Iowa,Place,Yes
Shenandoah city, Iowa,Place,Yes
Sherrill city, Iowa,Place,Yes
Shueyville city, Iowa,Place,Yes
Sibley city, Iowa,Place,No
Sidney city, Iowa,Place,Yes
Sigourney city, Iowa,Place,No
Silver City city, Iowa,Place,No
Sioux Center city, Iowa,Place,No
Sioux City city, Iowa,Place,No
Sioux Rapids city, Iowa,Place,No
Slater city, Iowa,Place,No
Sloan city, Iowa,Place,No
Smithland city, Iowa,Place,No
Soldier city, Iowa,Place,Yes
Solon city, Iowa,Place,Yes
Somers city, Iowa,Place,No
South Amana CDP, Iowa,Place,Yes
South English city, Iowa,Place,Yes
Spencer city, Iowa,Place,No
Spillville city, Iowa,Place,Yes
Spirit Lake city, Iowa,Place,No
Spragueville city, Iowa,Place,Yes
Springbrook city, Iowa,Place,No
Spring Hill city, Iowa,Place,Yes
Springville city, Iowa,Place,Yes
Stacyville city, Iowa,Place,No
Stanhope city, Iowa,Place,No
Stanley city, Iowa,Place,No
Stanton city, Iowa,Place,No
Stanwood city, Iowa,Place,No
State Center city, Iowa,Place,Yes
Steamboat Rock city, Iowa,Place,No
Stockport city, Iowa,Place,Yes
Stockton city, Iowa,Place,No
Stone City CDP, Iowa,Place,No
Storm Lake city, Iowa,Place,No
Story City city, Iowa,Place,No
Stout city, Iowa,Place,Yes
Stratford city, Iowa,Place,No
Strawberry Point city, Iowa,Place,No
Struble city, Iowa,Place,Yes
Stuart city, Iowa,Place,Yes
Sully city, Iowa,Place,Yes
Sumner city, Iowa,Place,No
Sun Valley Lake CDP, Iowa,Place,Yes
Superior city, Iowa,Place,Yes
Sutherland city, Iowa,Place,No
Swaledale city, Iowa,Place,No
Swan city, Iowa,Place,Yes
Swea City city, Iowa,Place,No
Swisher city, Iowa,Place,No
Tabor city, Iowa,Place,Yes
Tama city, Iowa,Place,No
Templeton city, Iowa,Place,No
Tennant city, Iowa,Place,Yes
Terril city, Iowa,Place,Yes
Thayer city, Iowa,Place,Yes
Thompson city, Iowa,Place,Yes
Thor city, Iowa,Place,No
Thornburg city, Iowa,Place,No
Thornton city, Iowa,Place,No
Thurman city, Iowa,Place,Yes
Tiffin city, Iowa,Place,No
Tingley city, Iowa,Place,No
Tipton city, Iowa,Place,Yes
Titonka city, Iowa,Place,No
Toeterville CDP, Iowa,Place,No
Toledo city, Iowa,Place,No
Toronto city, Iowa,Place,No
Traer city, Iowa,Place,No
Treynor city, Iowa,Place,Yes
Tripoli city, Iowa,Place,No
Truesdale city, Iowa,Place,No
Truro city, Iowa,Place,Yes
Turin city, Iowa,Place,Yes
Twin Lakes CDP, Iowa,Place,Yes
Udell city, Iowa,Place,Yes
Underwood city, Iowa,Place,No
Union city, Iowa,Place,No
Unionville city, Iowa,Place,Yes
University Heights city, Iowa,Place,Yes
University Park city, Iowa,Place,No
Urbana city, Iowa,Place,No
Urbandale city, Iowa,Place,No
Ute city, Iowa,Place,No
Vail city, Iowa,Place,No
Valeria city, Iowa,Place,Yes
Van Horne city, Iowa,Place,Yes
Van Meter city, Iowa,Place,No
Van Wert city, Iowa,Place,No
Varina city, Iowa,Place,Yes
Ventura city, Iowa,Place,Yes
Victor city, Iowa,Place,No
Villisca city, Iowa,Place,No
Vincent city, Iowa,Place,No
Vining city, Iowa,Place,No
Vinton city, Iowa,Place,No
Volga city, Iowa,Place,Yes
Wadena city, Iowa,Place,No
Wahpeton city, Iowa,Place,Yes
Walcott city, Iowa,Place,No
Walford city, Iowa,Place,No
Walker city, Iowa,Place,Yes
Wallingford city, Iowa,Place,Yes
Wall Lake city, Iowa,Place,Yes
Walnut city, Iowa,Place,No
Wapello city, Iowa,Place,Yes
Washburn CDP, Iowa,Place,No
Washington city, Iowa,Place,No
Washta city, Iowa,Place,No
Waterloo city, Iowa,Place,No
Waterville city, Iowa,Place,No
Watkins CDP, Iowa,Place,No
Waucoma city, Iowa,Place,Yes
Waukee city, Iowa,Place,No
Waukon city, Iowa,Place,No
Waverly city, Iowa,Place,Yes
Wayland city, Iowa,Place,Yes
Webb city, Iowa,Place,No
Webster city, Iowa,Place,No
Webster City city, Iowa,Place,No
Weldon city, Iowa,Place,No
Wellman city, Iowa,Place,No
Wellsburg city, Iowa,Place,No
Welton city, Iowa,Place,No
Wesley city, Iowa,Place,No
West Amana CDP, Iowa,Place,No
West Bend city, Iowa,Place,No
West Branch city, Iowa,Place,No
West Burlington city, Iowa,Place,Yes
West Chester city, Iowa,Place,No
West Des Moines city, Iowa,Place,No
Westfield city, Iowa,Place,No
Westgate city, Iowa,Place,No
West Liberty city, Iowa,Place,No
West Okoboji city, Iowa,Place,Yes
Weston CDP, Iowa,Place,No
Westphalia city, Iowa,Place,Yes
West Point city, Iowa,Place,No
Westside city, Iowa,Place,No
West Union city, Iowa,Place,No
Westwood city, Iowa,Place,Yes
What Cheer city, Iowa,Place,Yes
Wheatland city, Iowa,Place,No
Whiting city, Iowa,Place,Yes
Whittemore city, Iowa,Place,No
Whitten city, Iowa,Place,Yes
Willey city, Iowa,Place,Yes
Williams city, Iowa,Place,No
Williamsburg city, Iowa,Place,Yes
Williamson city, Iowa,Place,Yes
Wilton city, Iowa,Place,No
Windsor Heights city, Iowa,Place,No
Winfield city, Iowa,Place,No
Winterset city, Iowa,Place,No
Winthrop city, Iowa,Place,No
Wiota city, Iowa,Place,Yes
Woden city, Iowa,Place,No
Woodbine city, Iowa,Place,Yes
Woodburn city, Iowa,Place,No
Woodward city, Iowa,Place,Yes
Woolstock city, Iowa,Place,Yes
Worthington city, Iowa,Place,No
Wyoming city, Iowa,Place,No
Yale city, Iowa,Place,Yes
Yetter city, Iowa,Place,No
Yorktown city, Iowa,Place,No
Zearing city, Iowa,Place,Yes
Zwingle city, Iowa,Place,No
Abbyville city, Kansas,Place,No
Abilene city, Kansas,Place,No
Ada CDP, Kansas,Place,No
Admire city, Kansas,Place,Yes
Agenda city, Kansas,Place,No
Agra city, Kansas,Place,No
Albert city, Kansas,Place,No
Alden city, Kansas,Place,Yes
Alexander city, Kansas,Place,No
Allen city, Kansas,Place,No
Alma city, Kansas,Place,No
Almena city, Kansas,Place,Yes
Altamont city, Kansas,Place,No
Alta Vista city, Kansas,Place,Yes
Alton city, Kansas,Place,Yes
Altoona city, Kansas,Place,No
Americus city, Kansas,Place,No
Andale city, Kansas,Place,Yes
Andover city, Kansas,Place,Yes
Anthony city, Kansas,Place,No
Arcadia city, Kansas,Place,No
Argonia city, Kansas,Place,No
Arkansas City city, Kansas,Place,No
Arlington city, Kansas,Place,No
Arma city, Kansas,Place,No
Asherville CDP, Kansas,Place,No
Ashland city, Kansas,Place,No
Assaria city, Kansas,Place,No
Atchison city, Kansas,Place,Yes
Athol city, Kansas,Place,No
Atlanta city, Kansas,Place,No
Attica city, Kansas,Place,Yes
Atwood city, Kansas,Place,Yes
Auburn city, Kansas,Place,Yes
Augusta city, Kansas,Place,No
Aurora city, Kansas,Place,No
Axtell city, Kansas,Place,Yes
Baileyville CDP, Kansas,Place,Yes
Baldwin City city, Kansas,Place,No
Barnard city, Kansas,Place,Yes
Barnes city, Kansas,Place,Yes
Bartlett city, Kansas,Place,No
Basehor city, Kansas,Place,Yes
Bassett city, Kansas,Place,No
Baxter Springs city, Kansas,Place,Yes
Bazine city, Kansas,Place,No
Beattie city, Kansas,Place,No
Bel Aire city, Kansas,Place,No
Belle Plaine city, Kansas,Place,Yes
Belleville city, Kansas,Place,No
Beloit city, Kansas,Place,No
Belpre city, Kansas,Place,Yes
Belvue city, Kansas,Place,Yes
Bendena CDP, Kansas,Place,Yes
Benedict city, Kansas,Place,Yes
Bennington city, Kansas,Place,No
Bentley city, Kansas,Place,No
Benton city, Kansas,Place,No
Bern city, Kansas,Place,Yes
Beverly city, Kansas,Place,No
Bird City city, Kansas,Place,Yes
Bison city, Kansas,Place,No
Blue Mound city, Kansas,Place,Yes
Blue Rapids city, Kansas,Place,Yes
Bluff City city, Kansas,Place,Yes
Bogue city, Kansas,Place,No
Bonner Springs city, Kansas,Place,No
Brewster city, Kansas,Place,Yes
Bronson city, Kansas,Place,Yes
Brookville city, Kansas,Place,No
Brownell city, Kansas,Place,No
Bucklin city, Kansas,Place,No
Bucyrus CDP, Kansas,Place,No
Buffalo city, Kansas,Place,No
Buhler city, Kansas,Place,No
Bunker Hill city, Kansas,Place,Yes
Burden city, Kansas,Place,Yes
Burdett city, Kansas,Place,Yes
Burlingame city, Kansas,Place,No
Burlington city, Kansas,Place,No
Burns city, Kansas,Place,Yes
Burr Oak city, Kansas,Place,Yes
Burrton city, Kansas,Place,No
Bushong city, Kansas,Place,Yes
Bushton city, Kansas,Place,Yes
Byers city, Kansas,Place,Yes
Caldwell city, Kansas,Place,No
Cambridge city, Kansas,Place,Yes
Caney city, Kansas,Place,No
Canton city, Kansas,Place,No
Carbondale city, Kansas,Place,No
Carlton city, Kansas,Place,No
Cassoday city, Kansas,Place,Yes
Catharine CDP, Kansas,Place,No
Cawker City city, Kansas,Place,No
Cedar city, Kansas,Place,No
Cedar Point city, Kansas,Place,No
Cedar Vale city, Kansas,Place,No
Centralia city, Kansas,Place,No
Chanute city, Kansas,Place,No
Chapman city, Kansas,Place,No
Chase city, Kansas,Place,No
Chautauqua city, Kansas,Place,Yes
Cheney city, Kansas,Place,No
Cherokee city, Kansas,Place,No
Cherryvale city, Kansas,Place,No
Chetopa city, Kansas,Place,No
Chicopee CDP, Kansas,Place,No
Cimarron city, Kansas,Place,Yes
Circleville city, Kansas,Place,No
Claflin city, Kansas,Place,No
Clay Center city, Kansas,Place,No
Clayton city, Kansas,Place,Yes
Clearwater city, Kansas,Place,No
Clifton city, Kansas,Place,No
Climax city, Kansas,Place,Yes
Clyde city, Kansas,Place,No
Coats city, Kansas,Place,No
Coffeyville city, Kansas,Place,No
Colby city, Kansas,Place,No
Coldwater city, Kansas,Place,Yes
Collyer city, Kansas,Place,No
Colony city, Kansas,Place,No
Columbus city, Kansas,Place,No
Colwich city, Kansas,Place,No
Concordia city, Kansas,Place,No
Conway Springs city, Kansas,Place,No
Coolidge city, Kansas,Place,No
Copeland city, Kansas,Place,No
Corning city, Kansas,Place,No
Cottonwood Falls city, Kansas,Place,No
Council Grove city, Kansas,Place,Yes
Courtland city, Kansas,Place,Yes
Coyville city, Kansas,Place,No
Cuba city, Kansas,Place,Yes
Cullison city, Kansas,Place,Yes
Culver city, Kansas,Place,No
Cunningham city, Kansas,Place,No
Damar city, Kansas,Place,Yes
Danville city, Kansas,Place,Yes
Dearing city, Kansas,Place,No
Deerfield city, Kansas,Place,Yes
Delia city, Kansas,Place,Yes
Delphos city, Kansas,Place,No
Denison city, Kansas,Place,Yes
Denton city, Kansas,Place,No
Derby city, Kansas,Place,No
De Soto city, Kansas,Place,No
Detroit CDP, Kansas,Place,No
Dexter city, Kansas,Place,No
Dighton city, Kansas,Place,Yes
Dodge City city, Kansas,Place,No
Dorrance city, Kansas,Place,Yes
Douglass city, Kansas,Place,No
Downs city, Kansas,Place,No
Dresden city, Kansas,Place,No
Dunlap city, Kansas,Place,No
Durham city, Kansas,Place,No
Dwight city, Kansas,Place,No
Earlton city, Kansas,Place,Yes
Eastborough city, Kansas,Place,Yes
Easton city, Kansas,Place,No
Edgerton city, Kansas,Place,No
Edmond city, Kansas,Place,Yes
Edna city, Kansas,Place,Yes
Edwardsville city, Kansas,Place,Yes
Effingham city, Kansas,Place,No
Elbing city, Kansas,Place,Yes
El Dorado city, Kansas,Place,No
Elgin city, Kansas,Place,Yes
Elk City city, Kansas,Place,Yes
Elk Falls city, Kansas,Place,No
Elkhart city, Kansas,Place,No
Ellinwood city, Kansas,Place,No
Ellis city, Kansas,Place,No
Ellsworth city, Kansas,Place,No
Elmdale city, Kansas,Place,Yes
Elsmore city, Kansas,Place,Yes
Elwood city, Kansas,Place,No
Emmett city, Kansas,Place,No
Emporia city, Kansas,Place,No
Englewood city, Kansas,Place,Yes
Ensign city, Kansas,Place,No
Enterprise city, Kansas,Place,Yes
Erie city, Kansas,Place,No
Esbon city, Kansas,Place,No
Eskridge city, Kansas,Place,No
Eudora city, Kansas,Place,Yes
Eureka city, Kansas,Place,No
Everest city, Kansas,Place,No
Fairview city, Kansas,Place,No
Fairway city, Kansas,Place,Yes
Fall River city, Kansas,Place,No
Falun CDP, Kansas,Place,No
Florence city, Kansas,Place,No
Fontana city, Kansas,Place,Yes
Ford city, Kansas,Place,No
Formoso city, Kansas,Place,No
Fort Dodge CDP, Kansas,Place,No
Fort Riley CDP, Kansas,Place,No
Fort Scott city, Kansas,Place,No
Fowler city, Kansas,Place,No
Frankfort city, Kansas,Place,No
Franklin CDP, Kansas,Place,No
Frederick city, Kansas,Place,Yes
Fredonia city, Kansas,Place,No
Freeport city, Kansas,Place,No
Frontenac city, Kansas,Place,Yes
Fulton city, Kansas,Place,Yes
Galatia city, Kansas,Place,Yes
Galena city, Kansas,Place,No
Galesburg city, Kansas,Place,Yes
Galva city, Kansas,Place,Yes
Garden City city, Kansas,Place,No
Garden Plain city, Kansas,Place,No
Gardner city, Kansas,Place,No
Garfield city, Kansas,Place,Yes
Garnett city, Kansas,Place,No
Gas city, Kansas,Place,Yes
Gaylord city, Kansas,Place,No
Gem city, Kansas,Place,Yes
Geneseo city, Kansas,Place,No
Geuda Springs city, Kansas,Place,No
Girard city, Kansas,Place,No
Glade city, Kansas,Place,No
Glasco city, Kansas,Place,Yes
Glen Elder city, Kansas,Place,No
Goddard city, Kansas,Place,No
Goessel city, Kansas,Place,Yes
Goff city, Kansas,Place,Yes
Goodland city, Kansas,Place,Yes
Gorham city, Kansas,Place,No
Gove City city, Kansas,Place,Yes
Grainfield city, Kansas,Place,Yes
Grandview Plaza city, Kansas,Place,No
Grantville CDP, Kansas,Place,No
Great Bend city, Kansas,Place,No
Greeley city, Kansas,Place,No
Greeley County unified government (balance), Kansas,Place,Yes
Green city, Kansas,Place,Yes
Greenleaf city, Kansas,Place,Yes
Greensburg city, Kansas,Place,No
Grenola city, Kansas,Place,Yes
Gridley city, Kansas,Place,No
Grinnell city, Kansas,Place,Yes
Gypsum city, Kansas,Place,Yes
Haddam city, Kansas,Place,Yes
Halstead city, Kansas,Place,Yes
Hamilton city, Kansas,Place,No
Hamlin city, Kansas,Place,Yes
Hanover city, Kansas,Place,No
Hanston city, Kansas,Place,No
Hardtner city, Kansas,Place,Yes
Harper city, Kansas,Place,Yes
Harris CDP, Kansas,Place,No
Hartford city, Kansas,Place,No
Harveyville city, Kansas,Place,Yes
Havana city, Kansas,Place,Yes
Haven city, Kansas,Place,No
Havensville city, Kansas,Place,Yes
Haviland city, Kansas,Place,No
Hays city, Kansas,Place,No
Haysville city, Kansas,Place,No
Hazelton city, Kansas,Place,Yes
Healy CDP, Kansas,Place,No
Hepler city, Kansas,Place,No
Herington city, Kansas,Place,No
Herndon city, Kansas,Place,Yes
Hesston city, Kansas,Place,No
Hiawatha city, Kansas,Place,Yes
Highland city, Kansas,Place,Yes
Hill City city, Kansas,Place,No
Hillsboro city, Kansas,Place,Yes
Hillsdale CDP, Kansas,Place,No
Hoisington city, Kansas,Place,No
Holcomb city, Kansas,Place,Yes
Hollenberg city, Kansas,Place,No
Holton city, Kansas,Place,No
Holyrood city, Kansas,Place,Yes
Home CDP, Kansas,Place,Yes
Hope city, Kansas,Place,No
Horace city, Kansas,Place,Yes
Horton city, Kansas,Place,No
Howard city, Kansas,Place,No
Hoxie city, Kansas,Place,No
Hoyt city, Kansas,Place,No
Hudson city, Kansas,Place,No
Hugoton city, Kansas,Place,No
Humboldt city, Kansas,Place,No
Hunnewell city, Kansas,Place,Yes
Hunter city, Kansas,Place,Yes
Huron city, Kansas,Place,No
Hutchinson city, Kansas,Place,No
Independence city, Kansas,Place,No
Ingalls city, Kansas,Place,Yes
Inman city, Kansas,Place,No
Iola city, Kansas,Place,No
Isabel city, Kansas,Place,Yes
Iuka city, Kansas,Place,No
Jamestown city, Kansas,Place,No
Jennings city, Kansas,Place,No
Jetmore city, Kansas,Place,No
Jewell city, Kansas,Place,No
Johnson City city, Kansas,Place,No
Junction City city, Kansas,Place,No
Kanopolis city, Kansas,Place,Yes
Kanorado city, Kansas,Place,Yes
Kansas City city, Kansas,Place,No
Kechi city, Kansas,Place,Yes
Kensington city, Kansas,Place,Yes
Kickapoo Site 1 CDP, Kansas,Place,No
Kickapoo Site 2 CDP, Kansas,Place,Yes
Kickapoo Site 5 CDP, Kansas,Place,No
Kickapoo Site 6 CDP, Kansas,Place,No
Kickapoo Site 7 CDP, Kansas,Place,No
Kickapoo Tribal Center CDP, Kansas,Place,No
Kincaid city, Kansas,Place,Yes
Kingman city, Kansas,Place,No
Kinsley city, Kansas,Place,No
Kiowa city, Kansas,Place,No
Kipp CDP, Kansas,Place,No
Kirwin city, Kansas,Place,No
Kismet city, Kansas,Place,Yes
Labette city, Kansas,Place,Yes
La Crosse city, Kansas,Place,No
La Cygne city, Kansas,Place,No
La Harpe city, Kansas,Place,No
Lake Quivira city, Kansas,Place,Yes
Lakin city, Kansas,Place,Yes
Lancaster city, Kansas,Place,No
Lane city, Kansas,Place,No
Langdon city, Kansas,Place,Yes
Lansing city, Kansas,Place,No
Larned city, Kansas,Place,No
Latham city, Kansas,Place,No
Latimer city, Kansas,Place,Yes
Lawrence city, Kansas,Place,No
Leavenworth city, Kansas,Place,No
Leawood city, Kansas,Place,Yes
Lebanon city, Kansas,Place,No
Lebo city, Kansas,Place,No
Lecompton city, Kansas,Place,No
Lehigh city, Kansas,Place,Yes
Lenexa city, Kansas,Place,No
Lenora city, Kansas,Place,Yes
Leon city, Kansas,Place,No
Leona city, Kansas,Place,Yes
Leonardville city, Kansas,Place,Yes
Leoti city, Kansas,Place,Yes
LeRoy city, Kansas,Place,No
Levant CDP, Kansas,Place,No
Lewis city, Kansas,Place,No
Liberal city, Kansas,Place,No
Liberty city, Kansas,Place,No
Liebenthal city, Kansas,Place,Yes
Lincoln Center city, Kansas,Place,No
Lincolnville city, Kansas,Place,No
Lindsborg city, Kansas,Place,No
Linn city, Kansas,Place,No
Linn Valley city, Kansas,Place,No
Linwood city, Kansas,Place,No
Little River city, Kansas,Place,No
Logan city, Kansas,Place,No
Lone Elm city, Kansas,Place,Yes
Longford city, Kansas,Place,Yes
Long Island city, Kansas,Place,No
Longton city, Kansas,Place,No
Lorraine city, Kansas,Place,No
Lost Springs city, Kansas,Place,No
Louisburg city, Kansas,Place,No
Louisville city, Kansas,Place,No
Lowell CDP, Kansas,Place,No
Lucas city, Kansas,Place,No
Luray city, Kansas,Place,Yes
Lyndon city, Kansas,Place,No
Lyons city, Kansas,Place,No
McConnell AFB CDP, Kansas,Place,No
McCracken city, Kansas,Place,No
McCune city, Kansas,Place,No
McDonald city, Kansas,Place,No
McFarland city, Kansas,Place,Yes
Macksville city, Kansas,Place,Yes
McLouth city, Kansas,Place,No
McPherson city, Kansas,Place,No
Madison city, Kansas,Place,No
Mahaska city, Kansas,Place,No
Maize city, Kansas,Place,No
Manchester city, Kansas,Place,Yes
Manhattan city, Kansas,Place,Yes
Mankato city, Kansas,Place,No
Manter city, Kansas,Place,Yes
Maple Hill city, Kansas,Place,Yes
Mapleton city, Kansas,Place,Yes
Marienthal CDP, Kansas,Place,No
Marion city, Kansas,Place,Yes
Marquette city, Kansas,Place,No
Marysville city, Kansas,Place,No
Matfield Green city, Kansas,Place,No
Mayetta city, Kansas,Place,No
Mayfield city, Kansas,Place,Yes
Meade city, Kansas,Place,Yes
Medicine Lodge city, Kansas,Place,No
Melvern city, Kansas,Place,Yes
Menlo city, Kansas,Place,Yes
Meriden city, Kansas,Place,No
Merriam city, Kansas,Place,No
Milan city, Kansas,Place,No
Mildred city, Kansas,Place,Yes
Milford city, Kansas,Place,No
Milton CDP, Kansas,Place,No
Miltonvale city, Kansas,Place,Yes
Minneapolis city, Kansas,Place,No
Minneola city, Kansas,Place,Yes
Mission city, Kansas,Place,No
Mission Hills city, Kansas,Place,Yes
Mission Woods city, Kansas,Place,Yes
Moline city, Kansas,Place,No
Montezuma city, Kansas,Place,No
Moran city, Kansas,Place,No
Morganville city, Kansas,Place,No
Morland city, Kansas,Place,Yes
Morrill city, Kansas,Place,No
Morrowville city, Kansas,Place,No
Moscow city, Kansas,Place,Yes
Mound City city, Kansas,Place,No
Moundridge city, Kansas,Place,Yes
Mound Valley city, Kansas,Place,No
Mount Hope city, Kansas,Place,No
Mulberry city, Kansas,Place,No
Mullinville city, Kansas,Place,Yes
Mulvane city, Kansas,Place,Yes
Munden city, Kansas,Place,Yes
Munjor CDP, Kansas,Place,Yes
Muscotah city, Kansas,Place,No
Narka city, Kansas,Place,No
Nashville city, Kansas,Place,No
Natoma city, Kansas,Place,No
Neodesha city, Kansas,Place,No
Neosho Falls city, Kansas,Place,Yes
Neosho Rapids city, Kansas,Place,No
Ness City city, Kansas,Place,No
Netawaka city, Kansas,Place,No
New Albany city, Kansas,Place,No
New Cambria city, Kansas,Place,No
New Strawn city, Kansas,Place,No
Newton city, Kansas,Place,No
Nickerson city, Kansas,Place,Yes
Niotaze city, Kansas,Place,Yes
Norcatur city, Kansas,Place,Yes
North Newton city, Kansas,Place,No
Norton city, Kansas,Place,Yes
Nortonville city, Kansas,Place,No
Norwich city, Kansas,Place,Yes
Oak Hill city, Kansas,Place,Yes
Oaklawn-Sunview CDP, Kansas,Place,No
Oakley city, Kansas,Place,Yes
Oberlin city, Kansas,Place,No
Odin CDP, Kansas,Place,No
Offerle city, Kansas,Place,No
Ogden city, Kansas,Place,No
Oketo city, Kansas,Place,No
Olathe city, Kansas,Place,No
Olivet city, Kansas,Place,Yes
Olmitz city, Kansas,Place,Yes
Olpe city, Kansas,Place,No
Olsburg city, Kansas,Place,No
Onaga city, Kansas,Place,No
Oneida city, Kansas,Place,Yes
Osage City city, Kansas,Place,No
Osawatomie city, Kansas,Place,Yes
Osborne city, Kansas,Place,Yes
Oskaloosa city, Kansas,Place,Yes
Oswego city, Kansas,Place,No
Otis city, Kansas,Place,Yes
Ottawa city, Kansas,Place,No
Overbrook city, Kansas,Place,No
Overland Park city, Kansas,Place,No
Oxford city, Kansas,Place,No
Ozawkie city, Kansas,Place,No
Palco city, Kansas,Place,No
Palmer city, Kansas,Place,No
Paola city, Kansas,Place,No
Paradise city, Kansas,Place,Yes
Park city, Kansas,Place,Yes
Park City city, Kansas,Place,Yes
Parker city, Kansas,Place,No
Parkerfield city, Kansas,Place,No
Parkerville city, Kansas,Place,No
Parsons city, Kansas,Place,No
Partridge city, Kansas,Place,No
Pawnee Rock city, Kansas,Place,No
Paxico city, Kansas,Place,No
Peabody city, Kansas,Place,No
Penalosa city, Kansas,Place,No
Perry city, Kansas,Place,No
Peru city, Kansas,Place,Yes
Phillipsburg city, Kansas,Place,No
Piqua CDP, Kansas,Place,Yes
Pittsburg city, Kansas,Place,No
Plains city, Kansas,Place,No
Plainville city, Kansas,Place,Yes
Pleasanton city, Kansas,Place,No
Plevna city, Kansas,Place,No
Pomona city, Kansas,Place,Yes
Portis city, Kansas,Place,Yes
Potwin city, Kansas,Place,No
Powhattan city, Kansas,Place,No
Prairie View city, Kansas,Place,No
Prairie Village city, Kansas,Place,Yes
Pratt city, Kansas,Place,Yes
Prescott city, Kansas,Place,No
Preston city, Kansas,Place,No
Pretty Prairie city, Kansas,Place,Yes
Princeton city, Kansas,Place,No
Protection city, Kansas,Place,No
Quenemo city, Kansas,Place,No
Quinter city, Kansas,Place,No
Radium city, Kansas,Place,Yes
Ramona city, Kansas,Place,No
Randall city, Kansas,Place,Yes
Randolph city, Kansas,Place,No
Ransom city, Kansas,Place,No
Rantoul city, Kansas,Place,No
Raymond city, Kansas,Place,No
Reading city, Kansas,Place,No
Redfield city, Kansas,Place,No
Republic city, Kansas,Place,No
Reserve city, Kansas,Place,No
Rexford city, Kansas,Place,No
Richfield city, Kansas,Place,No
Richmond city, Kansas,Place,Yes
Riley city, Kansas,Place,No
Riverton CDP, Kansas,Place,No
Robinson city, Kansas,Place,No
Roeland Park city, Kansas,Place,No
Rolla city, Kansas,Place,No
Rosalia CDP, Kansas,Place,No
Rose Hill city, Kansas,Place,No
Roseland city, Kansas,Place,Yes
Rossville city, Kansas,Place,Yes
Roxbury CDP, Kansas,Place,No
Rozel city, Kansas,Place,Yes
Rush Center city, Kansas,Place,No
Russell city, Kansas,Place,Yes
Russell Springs city, Kansas,Place,No
Sabetha city, Kansas,Place,No
St. Francis city, Kansas,Place,Yes
St. George city, Kansas,Place,Yes
St. John city, Kansas,Place,Yes
St. Marys city, Kansas,Place,No
St. Paul city, Kansas,Place,Yes
Salina city, Kansas,Place,No
Satanta city, Kansas,Place,No
Savonburg city, Kansas,Place,No
Sawyer city, Kansas,Place,No
Scammon city, Kansas,Place,No
Scandia city, Kansas,Place,Yes
Schoenchen city, Kansas,Place,No
Scott City city, Kansas,Place,No
Scottsville city, Kansas,Place,Yes
Scranton city, Kansas,Place,No
Sedan city, Kansas,Place,No
Sedgwick city, Kansas,Place,No
Selden city, Kansas,Place,No
Seneca city, Kansas,Place,No
Severance city, Kansas,Place,No
Severy city, Kansas,Place,No
Seward city, Kansas,Place,No
Sharon city, Kansas,Place,Yes
Sharon Springs city, Kansas,Place,No
Shawnee city, Kansas,Place,No
Silver Lake city, Kansas,Place,No
Simpson city, Kansas,Place,No
Smith Center city, Kansas,Place,No
Smolan city, Kansas,Place,No
Soldier city, Kansas,Place,No
Solomon city, Kansas,Place,No
South Haven city, Kansas,Place,No
South Hutchinson city, Kansas,Place,No
Spearville city, Kansas,Place,No
Speed city, Kansas,Place,Yes
Spivey city, Kansas,Place,Yes
Spring Hill city, Kansas,Place,Yes
Stafford city, Kansas,Place,No
Stark city, Kansas,Place,Yes
Sterling city, Kansas,Place,No
Stockton city, Kansas,Place,Yes
Strong City city, Kansas,Place,Yes
Sublette city, Kansas,Place,No
Summerfield city, Kansas,Place,No
Sun City city, Kansas,Place,Yes
Susank city, Kansas,Place,No
Sylvan Grove city, Kansas,Place,Yes
Sylvia city, Kansas,Place,No
Syracuse city, Kansas,Place,Yes
Talmage CDP, Kansas,Place,No
Tampa city, Kansas,Place,Yes
Tescott city, Kansas,Place,No
Thayer city, Kansas,Place,No
